,time,x,y
103,2024-01-18T16:52:06.324000+02:00,474,824
104,2024-01-18T16:52:06.340000+02:00,474,824
105,2024-01-18T16:52:06.356000+02:00,468,824
106,2024-01-18T16:52:06.372000+02:00,462,824
107,2024-01-18T16:52:06.388000+02:00,456,824
108,2024-01-18T16:52:06.404000+02:00,450,824
109,2024-01-18T16:52:06.420000+02:00,444,824
110,2024-01-18T16:52:06.436000+02:00,438,824
111,2024-01-18T16:52:06.452000+02:00,432,824
112,2024-01-18T16:52:06.468000+02:00,426,824
113,2024-01-18T16:52:06.484000+02:00,420,824
114,2024-01-18T16:52:06.500000+02:00,414,824
115,2024-01-18T16:52:06.516000+02:00,408,824
116,2024-01-18T16:52:06.532000+02:00,402,824
117,2024-01-18T16:52:06.548000+02:00,396,824
118,2024-01-18T16:52:06.564000+02:00,390,824
119,2024-01-18T16:52:06.580000+02:00,384,824
120,2024-01-18T16:52:06.596000+02:00,378,824
121,2024-01-18T16:52:06.612000+02:00,372,824
122,2024-01-18T16:52:06.628000+02:00,366,824
123,2024-01-18T16:52:06.644000+02:00,360,824
124,2024-01-18T16:52:06.661000+02:00,354,824
125,2024-01-18T16:52:06.676000+02:00,348,824
126,2024-01-18T16:52:06.693000+02:00,342,824
127,2024-01-18T16:52:06.708000+02:00,336,824
128,2024-01-18T16:52:06.725000+02:00,330,824
129,2024-01-18T16:52:06.740000+02:00,330,824
130,2024-01-18T16:52:06.756000+02:00,324,824
131,2024-01-18T16:52:06.772000+02:00,318,824
132,2024-01-18T16:52:06.788000+02:00,312,824
133,2024-01-18T16:52:06.805000+02:00,306,824
134,2024-01-18T16:52:06.820000+02:00,300,824
135,2024-01-18T16:52:06.836000+02:00,294,824
136,2024-01-18T16:52:06.852000+02:00,288,824
137,2024-01-18T16:52:06.868000+02:00,282,824
138,2024-01-18T16:52:06.884000+02:00,276,824
139,2024-01-18T16:52:06.900000+02:00,270,824
140,2024-01-18T16:52:06.916000+02:00,264,824
0,2024-01-18T16:52:28.208000+02:00,212,824
1,2024-01-18T16:52:28.225000+02:00,218,824
2,2024-01-18T16:52:28.240000+02:00,224,824
3,2024-01-18T16:52:28.256000+02:00,230,824
4,2024-01-18T16:52:28.272000+02:00,236,824
5,2024-01-18T16:52:28.288000+02:00,242,824
6,2024-01-18T16:52:28.304000+02:00,248,824
7,2024-01-18T16:52:28.320000+02:00,254,824
8,2024-01-18T16:52:28.336000+02:00,260,824
9,2024-01-18T16:52:28.352000+02:00,266,824
10,2024-01-18T16:52:28.368000+02:00,272,824
11,2024-01-18T16:52:28.384000+02:00,278,824
12,2024-01-18T16:52:28.400000+02:00,284,824
13,2024-01-18T16:52:28.416000+02:00,284,824
14,2024-01-18T16:52:28.432000+02:00,290,824
15,2024-01-18T16:52:28.448000+02:00,296,824
16,2024-01-18T16:52:28.464000+02:00,302,824
17,2024-01-18T16:52:28.480000+02:00,308,824
18,2024-01-18T16:52:28.496000+02:00,314,824
19,2024-01-18T16:52:28.512000+02:00,320,824
20,2024-01-18T16:52:28.528000+02:00,326,824
21,2024-01-18T16:52:28.544000+02:00,332,824
22,2024-01-18T16:52:28.560000+02:00,338,824
23,2024-01-18T16:52:28.576000+02:00,344,824
24,2024-01-18T16:52:28.592000+02:00,350,824
25,2024-01-18T16:52:28.608000+02:00,356,824
26,2024-01-18T16:52:28.624000+02:00,362,824
27,2024-01-18T16:52:28.640000+02:00,368,824
28,2024-01-18T16:52:28.656000+02:00,374,824
29,2024-01-18T16:52:28.672000+02:00,380,824
30,2024-01-18T16:52:28.688000+02:00,386,824
31,2024-01-18T16:52:28.705000+02:00,392,824
32,2024-01-18T16:52:28.720000+02:00,398,824
33,2024-01-18T16:52:28.736000+02:00,404,824
34,2024-01-18T16:52:28.752000+02:00,410,824
35,2024-01-18T16:52:28.768000+02:00,416,824
36,2024-01-18T16:52:28.784000+02:00,422,824
37,2024-01-18T16:52:28.801000+02:00,428,824
38,2024-01-18T16:52:28.816000+02:00,434,824
39,2024-01-18T16:52:28.832000+02:00,434,824
40,2024-01-18T16:52:28.848000+02:00,440,824
41,2024-01-18T16:52:28.864000+02:00,446,824
42,2024-01-18T16:52:28.880000+02:00,452,824
43,2024-01-18T16:52:28.896000+02:00,458,824
44,2024-01-18T16:52:28.912000+02:00,464,824
45,2024-01-18T16:52:28.928000+02:00,470,824
46,2024-01-18T16:52:28.944000+02:00,476,824
47,2024-01-18T16:52:28.961000+02:00,482,824
48,2024-01-18T16:52:28.976000+02:00,488,824
49,2024-01-18T16:52:28.992000+02:00,494,824
50,2024-01-18T16:52:29.008000+02:00,500,824
51,2024-01-18T16:52:29.024000+02:00,506,824
52,2024-01-18T16:52:29.040000+02:00,512,824
53,2024-01-18T16:52:29.056000+02:00,518,824
54,2024-01-18T16:52:29.072000+02:00,524,824
55,2024-01-18T16:52:29.088000+02:00,530,824
56,2024-01-18T16:52:29.104000+02:00,536,824
57,2024-01-18T16:52:29.120000+02:00,542,824
58,2024-01-18T16:52:29.136000+02:00,548,824
59,2024-01-18T16:52:29.152000+02:00,554,824
60,2024-01-18T16:52:29.168000+02:00,560,824
61,2024-01-18T16:52:29.184000+02:00,566,824
62,2024-01-18T16:52:29.201000+02:00,572,824
63,2024-01-18T16:52:29.217000+02:00,572,824
64,2024-01-18T16:52:29.232000+02:00,578,824
65,2024-01-18T16:52:29.248000+02:00,584,824
66,2024-01-18T16:52:29.264000+02:00,590,824
67,2024-01-18T16:52:29.280000+02:00,596,824
68,2024-01-18T16:52:29.296000+02:00,602,824
69,2024-01-18T16:52:29.312000+02:00,608,824
70,2024-01-18T16:52:29.339000+02:00,620,824
71,2024-01-18T16:52:29.344000+02:00,620,824
72,2024-01-18T16:52:29.360000+02:00,626,824
73,2024-01-18T16:52:29.376000+02:00,632,824
74,2024-01-18T16:52:29.392000+02:00,638,824
75,2024-01-18T16:52:29.408000+02:00,644,824
76,2024-01-18T16:52:29.424000+02:00,650,824
77,2024-01-18T16:52:29.440000+02:00,656,824
